Index,School,Ranking,Class
263,TAMU - KINGSVILLE,33.9,DIVISION 2
264,TARLETON STATE,77.3,DIVISION 2
265,TEXAS PERMIAN BASIN,29.3,DIVISION 2
266,TIFFIN,47.5,DIVISION 2
267,TRUMAN STATE,58.0,DIVISION 2
268,TUSCULUM,34.8,DIVISION 2
269,TUSKEGEE UNIVERSITY,24.0,DIVISION 2
270,UNC-PEMBROKE,12.9,DIVISION 2
271,UPPER IOWA,31.5,DIVISION 2
272,URBANA,31.1,DIVISION 2
273,VALDOSTA STATE,65.9,DIVISION 2
274,VIRGINIA STATE,35.7,DIVISION 2
275,VIRGINIA UNION,38.6,DIVISION 2
276,VIRGINIA-WISE,17.3,DIVISION 2
277,WALSH,22.0,DIVISION 2
278,WASHBURN,44.7,DIVISION 2
279,WAYNE STATE-MICHIGAN,44.6,DIVISION 2
280,WAYNE STATE-NEBRASKA,39.6,DIVISION 2
281,WEST ALABAMA,42.3,DIVISION 2
282,WEST CHESTER,47.7,DIVISION 2
283,WEST FLORIDA,59.6,DIVISION 2
284,WEST GEORGIA,31.8,DIVISION 2
285,WEST LIBERTY STATE,33.2,DIVISION 2
286,WEST TEXAS A&M,47.5,DIVISION 2
287,WEST VIRGINIA STATE,32.9,DIVISION 2
288,WEST VIRGINIA WESLEYAN,13.9,DIVISION 2
289,WESTERN NEW MEXICO,36.7,DIVISION 2
290,WESTERN OREGON,45.2,DIVISION 2
291,WESTERN STATE-COLO.,33.1,DIVISION 2
292,WHEELING JESUIT,6.3,DIVISION 2
293,WILLIAM JEWELL,25.7,DIVISION 2
294,WINGATE,40.0,DIVISION 2
295,WINONA STATE,44.4,DIVISION 2
296,WINSTON-SALEM,27.7,DIVISION 2
297,ADRIAN,1.2,DIVISION 3
298,ALBION,24.1,DIVISION 3
299,ALBRIGHT,0.7,DIVISION 3
300,ALFRED,29.0,DIVISION 3
301,ALFRED STATE,-17.3,DIVISION 3
302,ALLEGHENY,8.4,DIVISION 3
303,ALMA,22.8,DIVISION 3
304,ALVERNIA,-16.4,DIVISION 3
305,AMHERST,29.9,DIVISION 3
306,ANDERSON,-15.6,DIVISION 3
307,ANNA MARIA,-18.8,DIVISION 3
308,AUGSBURG,-7.7,DIVISION 3
309,AUGUSTANA-ILL.,36.1,DIVISION 3
310,AURORA,26.9,DIVISION 3
311,AUSTIN COLLEGE,7.7,DIVISION 3
312,AVERETT COLLEGE,29.0,DIVISION 3
313,BALDWIN-WALLACE,31.8,DIVISION 3
314,BATES,4.3,DIVISION 3
315,BECKER,-10.9,DIVISION 3
316,BELHAVEN,14.4,DIVISION 3
317,BELOIT,-32.8,DIVISION 3
318,BENEDICTINE - ILL,3.6,DIVISION 3
319,BERRY,37.1,DIVISION 3
320,BETHANY-WEST VIRGINIA,7.4,DIVISION 3
321,BETHEL-MINNESOTA,44.1,DIVISION 3
