Index,BPI,teamrankings,scheduled,abbr team,abbr,class
339,CATHOLIC UNIVERSITY,?,?,?,?,DIVISION 3
340,CENTRAL COLLEGE-IOWA,?,?,?,?,DIVISION 3
341,CENTRE,?,?,?,?,DIVISION 3
342,CHAPMAN,?,?,?,?,DIVISION 3
343,CHICAGO,?,?,?,?,DIVISION 3
344,CHRISTOPHER NEWPORT,?,?,?,?,DIVISION 3
345,CLAREMONT-MUDD- SCRIPPS,?,?,?,?,DIVISION 3
346,COAST GUARD,?,?,?,?,DIVISION 3
347,COE,?,?,?,?,DIVISION 3
348,COLBY,?,?,?,?,DIVISION 3
349,CONCORDIA - ILL,?,?,?,?,DIVISION 3
350,CONCORDIA WISC.,?,?,?,?,DIVISION 3
351,CONCORDIA-MOORHEAD,?,?,?,?,DIVISION 3
352,CORNELL-IA.,?,?,?,?,DIVISION 3
353,CORTLAND STATE,?,?,?,?,DIVISION 3
354,CROWN,?,?,?,?,DIVISION 3
355,CURRY,?,?,?,?,DIVISION 3
356,DARTMOUTH-MASS.,?,?,?,?,DIVISION 3
357,DEAN,?,?,?,?,DIVISION 3
358,DEFIANCE,?,?,?,?,DIVISION 3
359,DELAWARE VALLEY,?,?,?,?,DIVISION 3
360,DENISON,?,?,?,?,DIVISION 3
361,DEPAUW,?,?,?,?,DIVISION 3
362,DICKINSON,?,?,?,?,DIVISION 3
363,DUBUQUE,?,?,?,?,DIVISION 3
364,EAST TEXAS BAPTIST,?,?,?,?,DIVISION 3
365,ELMHURST,?,?,?,?,DIVISION 3
366,EMORY & HENRY,?,?,?,?,DIVISION 3
367,ENDICOTT,?,?,?,?,DIVISION 3
368,EUREKA,?,?,?,?,DIVISION 3
369,F.D.U.- FLORHAM PARK,?,?,?,?,DIVISION 3
370,FERRUM COLLEGE,?,?,?,?,DIVISION 3
371,FINLANDIA,?,?,?,?,DIVISION 3
372,FITCHBURG,?,?,?,?,DIVISION 3
373,FRAMINGHAM STATE,?,?,?,?,DIVISION 3
374,FRANKLIN & MARSHALL,?,?,?,?,DIVISION 3
375,FRANKLIN COLLEGE,?,?,?,?,DIVISION 3
376,GALLAUDET,?,?,?,?,DIVISION 3
377,GENEVA,?,?,?,?,DIVISION 3
378,GEORGE FOX,?,?,?,?,DIVISION 3
379,GETTYSBURG,?,?,?,?,DIVISION 3
380,GREENSBORO COLLEGE,?,?,?,?,DIVISION 3
381,GREENVILLE,?,?,?,?,DIVISION 3
382,GRINNELL,?,?,?,?,DIVISION 3
383,GROVE CITY,?,?,?,?,DIVISION 3
384,GUILFORD,?,?,?,?,DIVISION 3
